Date,XLP,XLI,XLK,XLF,XLE,XLV,XLB,XLY,XLU
2000-01-03,12.207146644592285,18.125661849975586,20.65203094482422,11.147915840148926,6.699402809143066,20.524770736694336,7.260402679443359,11.173436164855957,5.551599502563477
2000-01-04,11.863401412963867,17.624906539916992,19.604291915893555,10.660574913024902,6.573297500610352,20.059024810791016,7.19050407409668,10.83730411529541,5.384134292602539
2000-01-05,12.07300853729248,17.546348571777344,19.31325912475586,10.576811790466309,6.7466959953308105,19.87907600402832,7.4875640869140625,10.704010963439941,5.520001411437988
2000-01-06,12.299371719360352,17.78200912475586,18.672975540161133,11.041312217712402,7.00678825378418,19.942590713500977,7.679774761199951,10.825714111328125,5.510522365570068
2000-01-07,13.079085350036621,18.459503173828125,18.998933792114258,11.224064826965332,7.081663131713867,20.186050415039062,7.675409317016602,11.33570384979248,5.557921886444092
2000-01-10,12.785648345947266,18.459503173828125,19.7207088470459,11.026080131530762,7.022552013397217,22.250173568725586,7.649195194244385,11.277751922607422,5.576879024505615
2000-01-11,12.785648345947266,18.223846435546875,19.16192626953125,10.84332275390625,7.030434608459473,21.657400131225586,7.557460308074951,11.214001655578613,5.516842842102051
2000-01-12,12.8527250289917,18.00783920288086,19.080429077148438,11.056532859802246,6.998910903930664,21.297494888305664,7.448246955871582,11.150251388549805,5.459967613220215
2000-01-13,12.919794082641602,18.351503372192383,19.255056381225586,11.391589164733887,7.121072769165039,21.932605743408203,7.478824138641357,11.208205223083496,5.409412384033203
2000-01-14,12.96170711517334,18.223846435546875,19.697429656982422,11.658105850219727,7.077727317810059,21.742074966430664,7.426405429840088,11.179231643676758,5.453645706176758
2000-01-18,12.743722915649414,18.204214096069336,19.802202224731445,11.269753456115723,7.164421558380127,21.33984375,7.2472944259643555,11.115478515625,5.431532382965088
2000-01-19,12.83594799041748,18.14529800415039,19.837120056152344,11.231680870056152,7.140779972076416,21.84792709350586,7.107504367828369,11.092305183410645,5.434690475463867
2000-01-20,12.659890174865723,18.027477264404297,19.953540802001953,11.026080131530762,7.140779972076416,21.678573608398438,6.919663429260254,10.941617012023926,5.459967613220215
2000-01-21,12.517352104187012,17.801637649536133,19.976829528808594,10.88901424407959,7.337817192077637,21.63621711730957,6.9502387046813965,10.71560001373291,5.636910915374756
2000-01-24,12.156842231750488,17.291051864624023,19.32490348815918,10.691031455993652,7.077727317810059,20.99053955078125,6.766763687133789,10.31572151184082,5.5610785484313965
2000-01-25,12.005935668945312,17.192867279052734,19.738174438476562,10.805251121520996,7.061959266662598,21.138717651367188,6.640076160430908,10.379470825195312,5.431532382965088
2000-01-26,12.114928245544434,17.330326080322266,19.09206771850586,11.208831787109375,6.951617240905762,21.04345703125,6.640076160430908,10.454813003540039,5.406254291534424
2000-01-27,12.341293334960938,17.428518295288086,18.905805587768555,11.330665588378906,6.809751987457275,20.91643524169922,6.675025939941406,10.425830841064453,5.371494770050049
2000-01-28,12.240684509277344,16.96703338623047,18.230606079101562,10.934700012207031,6.730932712554932,20.493017196655273,6.561448097229004,10.014365196228027,5.343059062957764
2000-01-31,12.46705150604248,17.08486557006836,18.83596420288086,11.239287376403809,6.888563632965088,20.39775848388672,6.522128582000732,10.089706420898438,5.589514255523682
2000-02-01,12.341293334960938,16.96703338623047,19.231769561767578,11.300207138061523,6.872797966003418,20.66238021850586,6.640076160430908,10.454813003540039,5.548440933227539
2000-02-02,12.366443634033203,16.976850509643555,19.371471405029297,11.185989379882812,6.91615104675293,21.17047882080078,6.670660972595215,10.38526725769043,5.520001411437988
2000-02-03,12.19876766204834,16.96703338623047,19.930259704589844,11.117456436157227,6.833393096923828,21.361007690429688,6.5570759773254395,10.425830841064453,5.510522365570068
2000-02-04,12.190382957458496,17.0357666015625,20.163084030151367,11.00323486328125,6.636350631713867,21.435104370117188,6.548339366912842,10.408443450927734,5.482083320617676
2000-02-07,12.173616409301758,16.74119758605957,20.395919799804688,10.88901424407959,6.711231231689453,21.08579444885254,6.42165470123291,10.188223838806152,5.466287612915039
2000-02-08,12.324524879455566,16.8099365234375,20.58219337463379,11.010855674743652,6.652111053466797,21.318666458129883,6.404181957244873,10.420037269592285,5.4789276123046875
2000-02-09,12.215535163879395,16.633203506469727,20.326066970825195,10.751947402954102,6.431427478790283,20.937597274780273,6.277496337890625,10.246172904968262,5.4789276123046875
2000-02-10,11.804717063903809,16.348447799682617,20.809194564819336,10.454973220825195,6.565418720245361,20.757658004760742,6.225075721740723,10.15345287322998,5.399933815002441
2000-02-11,11.578348159790039,16.004791259765625,20.256214141845703,10.477825164794922,6.486599922180176,20.768230438232422,6.072175979614258,10.008563995361328,5.305143356323242
2000-02-14,11.6370267868042,16.260068893432617,20.26784896850586,10.569197654724121,6.589062213897705,20.38717269897461,6.172653675079346,10.060725212097168,5.311460494995117
2000-02-15,11.896934509277344,16.544822692871094,20.326066970825195,10.584426879882812,6.864920616149902,20.228395462036133,6.439127445220947,10.083906173706055,5.298825740814209
2000-02-16,11.729256629943848,16.50554847717285,20.221294403076172,10.363605499267578,6.896446704864502,19.656789779663086,6.290603160858154,9.689826965332031,5.276704788208008
2000-02-17,11.553192138671875,16.574281692504883,20.675315856933594,10.234151840209961,6.888563632965088,19.64620590209961,6.277496337890625,9.411650657653809,5.245108127593994
2000-02-18,11.419050216674805,16.21098518371582,19.976829528808594,9.868643760681152,6.6875834465026855,19.106351852416992,6.08528470993042,9.272561073303223,5.052361488342285
