Date,XLU,XLE,XLY,XLV,XLK,XLI,XLRE,XLB,XLF,XLC,XLP
2018-06-19,19.823654174804688,26.737789154052734,52.02067565917969,74.64996337890625,33.22135925292969,64.4334487915039,24.398006439208984,25.089109420776367,23.704647064208984,46.472129821777344,41.70448303222656
2018-06-20,19.83945083618164,26.85584831237793,52.267330169677734,74.80829620361328,33.29111862182617,64.4774398803711,24.661348342895508,25.00760269165039,23.64398193359375,47.048851013183594,41.745330810546875
2018-06-21,19.906597137451172,26.358579635620117,51.895023345947266,74.37723541259766,33.03532028198242,63.667964935302734,24.80850601196289,24.741661071777344,23.574644088745117,46.760501861572266,41.82700729370117
2018-06-22,20.04483413696289,26.88446807861328,51.80659484863281,74.7115249633789,32.92835998535156,63.88792037963867,25.025381088256836,25.101980209350586,23.46196746826172,46.96514892578125,42.1700553894043
2018-06-25,20.376609802246094,26.344270706176758,50.68037033081055,74.025390625,32.24467468261719,63.078460693359375,24.96341323852539,24.711637496948242,23.21061897277832,45.997745513916016,42.38241195678711
2018-06-26,20.40030860900879,26.676977157592773,51.04336166381836,73.79666137695312,32.37488555908203,63.316009521484375,25.0950870513916,24.806011199951172,23.132612228393555,46.07402801513672,42.20272445678711
2018-06-27,20.49905014038086,27.03472328186035,50.38251876831055,73.17208099365234,31.933059692382812,62.80567169189453,25.025381088256836,24.728796005249023,22.846601486206055,45.67218017578125,42.11288833618164
2018-06-28,20.491151809692383,26.998939514160156,50.77809524536133,73.26884460449219,32.3237419128418,62.8936653137207,25.27323341369629,24.823162078857422,23.04594612121582,46.12797164916992,42.11288833618164
2018-06-29,20.522743225097656,27.167085647583008,50.86652755737305,73.41840362548828,32.30978775024414,63.02565002441406,25.33519744873047,24.908950805664062,23.04594612121582,46.0721549987793,42.088375091552734
2018-07-02,20.66889190673828,26.766407012939453,50.93632888793945,73.64710998535156,32.598140716552734,63.16642761230469,25.188034057617188,24.775978088378906,23.15861701965332,46.36051559448242,41.84333419799805
2018-07-03,20.728132247924805,26.934551239013672,50.68037033081055,73.82305145263672,32.21212387084961,62.96405792236328,25.33519744873047,24.73307991027832,22.950603485107422,45.79310607910156,41.94135284423828
2018-07-05,20.83872413635254,26.90593147277832,50.93167495727539,74.58837890625,32.667903900146484,63.27202224731445,25.668251037597656,24.947555541992188,23.00261116027832,46.4907341003418,42.521270751953125
2018-07-06,21.00066375732422,27.07049560546875,51.331905364990234,75.66157531738281,33.04928207397461,63.49197769165039,25.77668571472168,25.071949005126953,23.115283966064453,47.22560119628906,42.65195083618164
2018-07-09,20.352914810180664,27.474748611450195,51.94622039794922,76.21578979492188,33.3004264831543,64.67102813720703,25.536577224731445,25.29500389099121,23.64398193359375,47.49534606933594,42.488590240478516
2018-07-10,20.54644775390625,27.67865562438965,52.05791091918945,76.50608825683594,33.379486083984375,64.87339782714844,25.660505294799805,25.509479522705078,23.55730438232422,47.47581100463867,42.9949951171875
2018-07-11,20.732086181640625,27.091960906982422,51.93690872192383,75.89908599853516,33.249267578125,63.8087272644043,25.58304786682129,25.08053207397461,23.444625854492188,47.41162109375,42.85614776611328
2018-07-12,20.747880935668945,27.13846206665039,52.28129196166992,76.74360656738281,33.77482223510742,64.556640625,25.645009994506836,25.140583038330078,23.48797035217285,48.15577697753906,42.7989616394043
2018-07-13,20.751834869384766,27.28156280517578,52.397640228271484,76.88433837890625,33.73762130737305,64.8910140991211,25.559810638427734,25.12771987915039,23.383962631225586,48.08135223388672,43.07667922973633
2018-07-16,20.732086181640625,26.96674346923828,52.527957916259766,76.41812133789062,33.65855407714844,64.62701416015625,25.42039680480957,24.926109313964844,23.79998016357422,47.941829681396484,42.87248611450195
2018-07-17,20.716285705566406,26.85942840576172,52.57914352416992,76.8403549194336,33.90970230102539,64.8821792602539,25.249998092651367,25.252111434936523,23.825984954833984,47.95112991333008,43.240028381347656
2018-07-18,20.60964584350586,26.877317428588867,52.54656219482422,76.90192413330078,33.8538932800293,65.59490966796875,25.157058715820312,25.01618766784668,24.20734405517578,47.811607360839844,42.88881301879883
2018-07-19,20.799232482910156,26.88446807861328,52.4255485534668,76.47090148925781,33.73296356201172,65.56848907470703,25.397159576416016,25.106266021728516,23.84332275390625,47.476741790771484,42.913326263427734
2018-07-20,20.653091430664062,26.791446685791016,52.192874908447266,76.32136535644531,33.74226760864258,65.49811553955078,25.172542572021484,25.003318786621094,23.886653900146484,47.318599700927734,43.174686431884766
2018-07-23,20.50695037841797,26.673398971557617,52.13702392578125,76.47968292236328,33.91434860229492,65.09335327148438,25.10283851623535,24.866058349609375,24.21601676940918,47.513954162597656,42.9051513671875
2018-07-24,20.578048706054688,27.009674072265625,51.98344421386719,77.17464447021484,34.10039138793945,65.36611938476562,25.033130645751953,25.187768936157227,24.285350799560547,47.848819732666016,42.98683166503906
2018-07-25,20.63728904724121,27.235050201416016,52.365055084228516,78.15988159179688,34.528263092041016,66.36039733886719,25.28097915649414,25.385086059570312,24.33734893798828,48.19298553466797,43.313533782958984
2018-07-26,20.858474731445312,27.531984329223633,52.09048080444336,77.93994903564453,33.99805450439453,66.8707046508789,25.36618423461914,25.53092384338379,24.328685760498047,46.375404357910156,43.542236328125
2018-07-27,20.79132843017578,27.413925170898438,51.95552444458008,77.376953125,33.41669845581055,66.87953186035156,25.133819580078125,25.436559677124023,24.38068199157715,45.495445251464844,43.59940719604492
2018-07-30,20.664939880371094,27.639307022094727,51.54133224487305,77.42096710205078,32.89579391479492,66.21961975097656,25.110580444335938,25.389373779296875,24.398019790649414,44.7791862487793,43.55038833618164
