Date,XLF,XLY,XLC,XLI,XLE,XLB,XLV,XLU,XLRE
2018-06-19,23.70465087890625,52.02069091796875,46.47214126586914,64.4334487915039,26.737783432006836,25.089111328125,74.64993286132812,19.823652267456055,24.398006439208984
2018-06-20,23.643978118896484,52.267330169677734,47.048858642578125,64.47745513916016,26.855846405029297,25.007610321044922,74.80829620361328,19.839448928833008,24.66134262084961
2018-06-21,23.57464599609375,51.895023345947266,46.76049041748047,63.66796112060547,26.358583450317383,24.741666793823242,74.37725830078125,19.90659523010254,24.80850601196289
2018-06-22,23.46196937561035,51.806602478027344,46.96512985229492,63.88795471191406,26.88446807861328,25.101972579956055,74.71151733398438,20.044837951660156,25.025381088256836
2018-06-25,23.21061897277832,50.68036651611328,45.99775314331055,63.07844543457031,26.344268798828125,24.711637496948242,74.02535247802734,20.376611709594727,24.963424682617188
2018-06-26,23.132612228393555,51.043365478515625,46.07402420043945,63.3160285949707,26.676973342895508,24.80600357055664,73.7966537475586,20.40030860900879,25.0950927734375
2018-06-27,22.846599578857422,50.38251876831055,45.672176361083984,62.80567169189453,27.034717559814453,24.72879981994629,73.17207336425781,20.499055862426758,25.025381088256836
2018-06-28,23.045948028564453,50.77810287475586,46.127960205078125,62.8936767578125,26.998947143554688,24.823165893554688,73.26884460449219,20.491153717041016,25.273239135742188
2018-06-29,23.045948028564453,50.86651611328125,46.0721549987793,63.0256462097168,27.167085647583008,24.90895652770996,73.41838073730469,20.522747039794922,25.33519744873047
2018-07-02,23.158615112304688,50.93632125854492,46.36050796508789,63.16643524169922,26.76641273498535,24.775976181030273,73.6470947265625,20.66888999938965,25.188037872314453
2018-07-03,22.950603485107422,50.68036651611328,45.79310607910156,62.96406555175781,26.934553146362305,24.733081817626953,73.82305145263672,20.728139877319336,25.33519744873047
2018-07-05,23.002601623535156,50.93169021606445,46.49073791503906,63.272029876708984,26.905920028686523,24.947553634643555,74.58836364746094,20.83873176574707,25.668251037597656
2018-07-06,23.115283966064453,51.331912994384766,47.225582122802734,63.49198913574219,27.07048988342285,25.07195472717285,75.6615982055664,21.00066566467285,25.776687622070312
2018-07-09,23.643978118896484,51.94621276855469,47.495338439941406,64.67100524902344,27.474746704101562,25.295007705688477,76.21576690673828,20.352914810180664,25.536577224731445
2018-07-10,23.55730438232422,52.05791091918945,47.4758186340332,64.8734130859375,27.67866325378418,25.509477615356445,76.50607299804688,20.546449661254883,25.660505294799805
2018-07-11,23.444629669189453,51.93690490722656,47.41162109375,63.80873107910156,27.09195899963379,25.080530166625977,75.89908599853516,20.73208236694336,25.58304786682129
2018-07-12,23.487972259521484,52.281288146972656,48.155765533447266,64.556640625,27.138465881347656,25.14058494567871,76.74358367919922,20.747886657714844,25.645009994506836
2018-07-13,23.383968353271484,52.397640228271484,48.08135986328125,64.8909912109375,27.281558990478516,25.127717971801758,76.88433074951172,20.751832962036133,25.559812545776367
2018-07-16,23.799985885620117,52.5279426574707,47.94184112548828,64.62705993652344,26.966745376586914,24.926109313964844,76.41810607910156,20.73208236694336,25.420398712158203
2018-07-17,23.82599449157715,52.579132080078125,47.95113754272461,64.88219451904297,26.859426498413086,25.252113342285156,76.84034729003906,20.716285705566406,25.249998092651367
2018-07-18,24.207340240478516,52.54655838012695,47.81161117553711,65.59490966796875,26.877307891845703,25.016189575195312,76.90193939208984,20.609647750854492,25.15705108642578
2018-07-19,23.843318939208984,52.42556381225586,47.47673797607422,65.56851196289062,26.88446807861328,25.106271743774414,76.47087860107422,20.79922866821289,25.397159576416016
2018-07-20,23.886653900146484,52.192867279052734,47.31861114501953,65.49810791015625,26.791454315185547,25.00332260131836,76.32135009765625,20.65308952331543,25.172542572021484
2018-07-23,24.216012954711914,52.137020111083984,47.51395034790039,65.09337615966797,26.67340087890625,24.866056442260742,76.47969055175781,20.506948471069336,25.102834701538086
2018-07-24,24.28534507751465,51.98344802856445,47.848819732666016,65.36613464355469,27.009679794311523,25.187767028808594,77.17464447021484,20.578046798706055,25.033126831054688
2018-07-25,24.33734703063965,52.365055084228516,48.19298553466797,66.36038970947266,27.23505973815918,25.38508415222168,78.15989685058594,20.63729476928711,25.280975341796875
2018-07-26,24.32868194580078,52.09048080444336,46.37538528442383,66.87073516845703,27.5319881439209,25.530925750732422,77.93997955322266,20.858476638793945,25.366182327270508
2018-07-27,24.38068389892578,51.95552062988281,45.49544143676758,66.8795166015625,27.41393280029297,25.436553955078125,77.37696075439453,20.791330337524414,25.13381576538086
2018-07-30,24.398014068603516,51.54133224487305,44.77919006347656,66.2196044921875,27.639310836791992,25.389371871948242,77.42094421386719,20.664947509765625,25.110576629638672
2018-07-31,24.22467613220215,51.7833366394043,45.07685852050781,67.68020629882812,27.5892276763916,25.62100601196289,78.23026275634766,20.850576400756836,25.598539352416992
2018-08-01,24.22467613220215,51.52737045288086,44.89081573486328,66.76513671875,27.20644187927246,25.359352111816406,78.24784851074219,20.716285705566406,25.768938064575195
2018-08-02,24.23333740234375,51.88106155395508,45.1884765625,66.6771469116211,27.056184768676758,25.192058563232422,78.53814697265625,20.818981170654297,25.645009994506836
2018-08-03,24.372018814086914,52.05791091918945,45.49544143676758,66.73873901367188,26.916667938232422,25.432266235351562,79.00438690185547,21.052017211914062,25.97806739807129
2018-08-06,24.50202178955078,52.40695571899414,45.95122528076172,66.83554077148438,27.01682472229004,25.423690795898438,79.1451187133789,21.067813873291016,25.923851013183594
2018-08-07,24.614696502685547,52.64894104003906,46.00704574584961,67.31065368652344,27.217164993286133,25.509477615356445,79.1539077758789,21.036212921142578,25.869632720947266
